Letter|Finished|TACE|Unicode11 |Unicode12|Unicode13|Unicode21|Unicode22|Unicode23|utf8_tace16_addend
ணி|X|0xE263|0xe0|0xae|0xa3|0xe0|0xae|0xbf|2
ணீ|X|0xE264|0xe0|0xae|0xa3|0xe0|0xaf|0x80|3
ணு|X|0xE265|0xe0|0xae|0xa3|0xe0|0xaf|0x81|4
ணூ|X|0xE266|0xe0|0xae|0xa3|0xe0|0xaf|0x82|5
ணெ|X|0xE267|0xe0|0xae|0xa3|0xe0|0xaf|0x86|6
ணே|X|0xE268|0xe0|0xae|0xa3|0xe0|0xaf|0x87|7
ணை|X|0xE269|0xe0|0xae|0xa3|0xe0|0xaf|0x88|8
ணொ|X|0xE26A|0xe0|0xae|0xa3|0xe0|0xaf|0x8a|9
ணோ|X|0xE26B|0xe0|0xae|0xa3|0xe0|0xaf|0x8b|10
ணௌ|X|0xE26C|0xe0|0xae|0xa3|0xe0|0xaf|0x8c|11
த்|X|0xE270|0xe0|0xae|0xa4|0xe0|0xaf|0x8d|-1
த|X|0xE271|0xe0|0xae|0xa4||||0
தா|X|0xE272|0xe0|0xae|0xa4|0xe0|0xae|0xbe|1
தி|X|0xE273|0xe0|0xae|0xa4|0xe0|0xae|0xbf|2
தீ|X|0xE274|0xe0|0xae|0xa4|0xe0|0xaf|0x80|3
து|X|0xE275|0xe0|0xae|0xa4|0xe0|0xaf|0x81|4
தூ|X|0xE276|0xe0|0xae|0xa4|0xe0|0xaf|0x82|5
தெ|X|0xE277|0xe0|0xae|0xa4|0xe0|0xaf|0x86|6
தே|X|0xE278|0xe0|0xae|0xa4|0xe0|0xaf|0x87|7
தை|X|0xE279|0xe0|0xae|0xa4|0xe0|0xaf|0x88|8
தொ|X|0xE27A|0xe0|0xae|0xa4|0xe0|0xaf|0x8a|9
தோ|X|0xE27B|0xe0|0xae|0xa4|0xe0|0xaf|0x8b|10
தௌ|X|0xE27C|0xe0|0xae|0xa4|0xe0|0xaf|0x8c|11
ந்|X|0xE280|0xe0|0xae|0xa8|0xe0|0xaf|0x8d|-1
ந|X|0xE281|0xe0|0xae|0xa8||||0
நா|X|0xE282|0xe0|0xae|0xa8|0xe0|0xae|0xbe|1
நி|X|0xE283|0xe0|0xae|0xa8|0xe0|0xae|0xbf|2
நீ|X|0xE284|0xe0|0xae|0xa8|0xe0|0xaf|0x80|3
நு|X|0xE285|0xe0|0xae|0xa8|0xe0|0xaf|0x81|4
நூ|X|0xE286|0xe0|0xae|0xa8|0xe0|0xaf|0x82|5
நெ|X|0xE287|0xe0|0xae|0xa8|0xe0|0xaf|0x86|6
நே|X|0xE288|0xe0|0xae|0xa8|0xe0|0xaf|0x87|7
நை|X|0xE289|0xe0|0xae|0xa8|0xe0|0xaf|0x88|8
நொ|X|0xE28A|0xe0|0xae|0xa8|0xe0|0xaf|0x8a|9
நோ|X|0xE28B|0xe0|0xae|0xa8|0xe0|0xaf|0x8b|10
நௌ|X|0xE28C|0xe0|0xae|0xa8|0xe0|0xaf|0x8c|11
ப்|X|0xE290|0xe0|0xae|0xaa|0xe0|0xaf|0x8d|-1
ப|X|0xE291|0xe0|0xae|0xaa||||0
பா|X|0xE292|0xe0|0xae|0xaa|0xe0|0xae|0xbe|1
பி|X|0xE293|0xe0|0xae|0xaa|0xe0|0xae|0xbf|2
பீ|X|0xE294|0xe0|0xae|0xaa|0xe0|0xaf|0x80|3
பு|X|0xE295|0xe0|0xae|0xaa|0xe0|0xaf|0x81|4
பூ|X|0xE296|0xe0|0xae|0xaa|0xe0|0xaf|0x82|5
பெ|X|0xE298|0xe0|0xae|0xaa|0xe0|0xaf|0x86|6
பே|X|0xE299|0xe0|0xae|0xaa|0xe0|0xaf|0x87|7
பை|X|0xE297|0xe0|0xae|0xaa|0xe0|0xaf|0x88|8
பொ|X|0xE29A|0xe0|0xae|0xaa|0xe0|0xaf|0x8a|9
போ|X|0xE29B|0xe0|0xae|0xaa|0xe0|0xaf|0x8b|10
பௌ|X|0xE29C|0xe0|0xae|0xaa|0xe0|0xaf|0x8c|11
ம்|X|0xE2A0|0xe0|0xae|0xae|0xe0|0xaf|0x8d|-1
ம|X|0xE2A1|0xe0|0xae|0xae||||0
மா|X|0xE2A2|0xe0|0xae|0xae|0xe0|0xae|0xbe|1
மி|X|0xE2A3|0xe0|0xae|0xae|0xe0|0xae|0xbf|2
மீ|X|0xE2A4|0xe0|0xae|0xae|0xe0|0xaf|0x80|3
மு|X|0xE2A5|0xe0|0xae|0xae|0xe0|0xaf|0x81|4
மூ|X|0xE2A6|0xe0|0xae|0xae|0xe0|0xaf|0x82|5
மெ|X|0xE2A7|0xe0|0xae|0xae|0xe0|0xaf|0x86|6
மே|X|0xE2A8|0xe0|0xae|0xae|0xe0|0xaf|0x87|7
மை|X|0xE2A9|0xe0|0xae|0xae|0xe0|0xaf|0x88|8
மொ|X|0xE2AA|0xe0|0xae|0xae|0xe0|0xaf|0x8a|9
மோ|X|0xE2AB|0xe0|0xae|0xae|0xe0|0xaf|0x8b|10
மௌ|X|0xE2AC|0xe0|0xae|0xae|0xe0|0xaf|0x8c|11
ய்|X|0xE2B0|0xe0|0xae|0xaf|0xe0|0xaf|0x8d|-1
ய|X|0xE2B1|0xe0|0xae|0xaf||||0
யா|X|0xE2B2|0xe0|0xae|0xaf|0xe0|0xae|0xbe|1
யி|X|0xE2B3|0xe0|0xae|0xaf|0xe0|0xae|0xbf|2
யீ|X|0xE2B4|0xe0|0xae|0xaf|0xe0|0xaf|0x80|3
யு|X|0xE2B5|0xe0|0xae|0xaf|0xe0|0xaf|0x81|4
யூ|X|0xE2B6|0xe0|0xae|0xaf|0xe0|0xaf|0x82|5
யெ|X|0xE2B7|0xe0|0xae|0xaf|0xe0|0xaf|0x86|6
யே|X|0xE2B8|0xe0|0xae|0xaf|0xe0|0xaf|0x87|7
யை|X|0xE2B9|0xe0|0xae|0xaf|0xe0|0xaf|0x88|8
யொ|X|0xE2BA|0xe0|0xae|0xaf|0xe0|0xaf|0x8a|9
யோ|X|0xE2BB|0xe0|0xae|0xaf|0xe0|0xaf|0x8b|10
யௌ|X|0xE2BC|0xe0|0xae|0xaf|0xe0|0xaf|0x8c|11
ர்|X|0xE2C0|0xe0|0xae|0xb0|0xe0|0xaf|0x8d|-1
ர|X|0xE2C1|0xe0|0xae|0xb0||||0
ரா|X|0xE2C2|0xe0|0xae|0xb0|0xe0|0xae|0xbe|1
ரி|X|0xE2C3|0xe0|0xae|0xb0|0xe0|0xae|0xbf|2
ரீ|X|0xE2C4|0xe0|0xae|0xb0|0xe0|0xaf|0x80|3
ரு|X|0xE2C5|0xe0|0xae|0xb0|0xe0|0xaf|0x81|4
ரூ|X|0xE2C6|0xe0|0xae|0xb0|0xe0|0xaf|0x82|5
ரெ|X|0xE2C7|0xe0|0xae|0xb0|0xe0|0xaf|0x86|6
ரே|X|0xE2C8|0xe0|0xae|0xb0|0xe0|0xaf|0x87|7
ரை|X|0xE2C9|0xe0|0xae|0xb0|0xe0|0xaf|0x88|8
ரொ|X|0xE2CA|0xe0|0xae|0xb0|0xe0|0xaf|0x8a|9
ரோ|X|0xE2CB|0xe0|0xae|0xb0|0xe0|0xaf|0x8b|10
ரௌ|X|0xE2CC|0xe0|0xae|0xb0|0xe0|0xaf|0x8c|11
ல்|X|0xE2D0|0xe0|0xae|0xb2|0xe0|0xaf|0x8d|-1
ல|X|0xE2D1|0xe0|0xae|0xb2||||0
லா|X|0xE2D2|0xe0|0xae|0xb2|0xe0|0xae|0xbe|1
லி|X|0xE2D3|0xe0|0xae|0xb2|0xe0|0xae|0xbf|2
லீ|X|0xE2D4|0xe0|0xae|0xb2|0xe0|0xaf|0x80|3
லு|X|0xE2D5|0xe0|0xae|0xb2|0xe0|0xaf|0x81|4
லூ|X|0xE2D6|0xe0|0xae|0xb2|0xe0|0xaf|0x82|5
லெ|X|0xE2D7|0xe0|0xae|0xb2|0xe0|0xaf|0x86|6
லே|X|0xE2D8|0xe0|0xae|0xb2|0xe0|0xaf|0x87|7
லை|X|0xE2D9|0xe0|0xae|0xb2|0xe0|0xaf|0x88|8
லொ|X|0xE2DA|0xe0|0xae|0xb2|0xe0|0xaf|0x8a|9
லோ|X|0xE2DB|0xe0|0xae|0xb2|0xe0|0xaf|0x8b|10
லௌ|X|0xE2DC|0xe0|0xae|0xb2|0xe0|0xaf|0x8c|11
வ்|X|0xE2E0|0xe0|0xae|0xb5|0xe0|0xaf|0x8d|-1
வ|X|0xE2E1|0xe0|0xae|0xb5||||0
வா|X|0xE2E2|0xe0|0xae|0xb5|0xe0|0xae|0xbe|1
வி|X|0xE2E3|0xe0|0xae|0xb5|0xe0|0xae|0xbf|2
வீ|X|0xE2E4|0xe0|0xae|0xb5|0xe0|0xaf|0x80|3
வு|X|0xE2E5|0xe0|0xae|0xb5|0xe0|0xaf|0x81|4
வூ|X|0xE2E6|0xe0|0xae|0xb5|0xe0|0xaf|0x82|5
வெ|X|0xE2E7|0xe0|0xae|0xb5|0xe0|0xaf|0x86|6
வே|X|0xE2E8|0xe0|0xae|0xb5|0xe0|0xaf|0x87|7
வை|X|0xE2E9|0xe0|0xae|0xb5|0xe0|0xaf|0x88|8
வொ|X|0xE2EA|0xe0|0xae|0xb5|0xe0|0xaf|0x8a|9
வோ|X|0xE2EB|0xe0|0xae|0xb5|0xe0|0xaf|0x8b|10
வௌ|X|0xE2EC|0xe0|0xae|0xb5|0xe0|0xaf|0x8c|11
ழ்|X|0xE2F0|0xe0|0xae|0xb4|0xe0|0xaf|0x8d|-1
ழ|X|0xE2F1|0xe0|0xae|0xb4||||0
ழா|X|0xE2F2|0xe0|0xae|0xb4|0xe0|0xae|0xbe|1
ழி|X|0xE2F3|0xe0|0xae|0xb4|0xe0|0xae|0xbf|2
ழீ|X|0xE2F4|0xe0|0xae|0xb4|0xe0|0xaf|0x80|3
ழு|X|0xE2F5|0xe0|0xae|0xb4|0xe0|0xaf|0x81|4
ழூ|X|0xE2F6|0xe0|0xae|0xb4|0xe0|0xaf|0x82|5
ழெ|X|0xE2F7|0xe0|0xae|0xb4|0xe0|0xaf|0x86|6
ழே|X|0xE2F8|0xe0|0xae|0xb4|0xe0|0xaf|0x87|7
ழை|X|0xE2F9|0xe0|0xae|0xb4|0xe0|0xaf|0x88|8
ழொ|X|0xE2FA|0xe0|0xae|0xb4|0xe0|0xaf|0x8a|9
ழோ|X|0xE2FB|0xe0|0xae|0xb4|0xe0|0xaf|0x8b|10
ழௌ|X|0xE2FC|0xe0|0xae|0xb4|0xe0|0xaf|0x8c|11
ள்|X|0xE300|0xe0|0xae|0xb3|0xe0|0xaf|0x8d|-1
ள|X|0xE301|0xe0|0xae|0xb3||||0
